,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
298,Khash,IR,28.2211,61.2158,75.24,15,0,1.03,clear sky
299,Koubia,GN,11.5833,-11.9,74.75,71,83,3.65,broken clouds
300,Alyangula,AU,-13.8483,136.4192,71.47,88,40,13.56,scattered clouds
301,Baudh,IN,20.8416,84.3213,81.81,64,38,3.94,scattered clouds
302,Owensboro,US,37.7742,-87.1133,58.17,72,90,8.05,overcast clouds
303,Dubbo,AU,-32.25,148.6167,39.33,81,0,11.5,clear sky
304,Japura,ID,-0.3167,102.35,74.07,91,95,0.89,overcast clouds
305,Yurga,RU,55.7231,84.8861,42.66,75,21,2.89,few clouds
306,Bojnurd,IR,37.4747,57.329,66.15,27,0,0.0,clear sky
307,Charters Towers,AU,-20.1,146.2667,64.56,72,0,13.71,clear sky
308,Kajaani,FI,64.2273,27.7285,30.25,86,0,1.14,clear sky
309,Hammond,US,41.5834,-87.5,63.57,42,1,8.01,clear sky
310,Tonj,SS,7.2737,28.6822,75.16,72,8,5.64,clear sky
311,Urumqi,CN,43.801,87.6005,68.95,40,0,3.6,clear sky
312,Kuito,AO,-12.3833,16.9333,53.35,39,4,0.65,clear sky
313,Lumeje,AO,-11.55,20.7833,55.36,41,7,4.21,clear sky
314,Dois Irmaos,BR,-29.5803,-51.0853,61.43,89,0,3.74,clear sky
315,Capao Bonito,BR,-24.0058,-48.3494,69.53,65,34,1.59,scattered clouds
316,Matiri,TZ,-10.75,34.9,53.38,69,0,2.82,clear sky
317,Tangua,BR,-22.7303,-42.7142,79.59,88,71,5.21,broken clouds
318,Shaping,CN,22.7545,112.9565,82.89,86,95,6.91,overcast clouds
319,Do Gonbadan,IR,30.3586,50.7981,77.09,18,0,0.0,clear sky
320,Shush,IR,32.1942,48.2436,92.89,9,0,8.59,clear sky
321,Uyuni,BO,-20.4597,-66.825,40.77,31,86,4.29,overcast clouds
322,Unteni,RO,47.8,26.7833,57.42,95,99,6.46,overcast clouds
323,Pecos,US,31.4229,-103.4932,91.49,31,1,21.85,clear sky
324,Tengushevo,RU,54.7686,42.7189,57.38,97,95,12.21,overcast clouds
325,Mount Isa,AU,-20.7333,139.5,55.17,41,0,1.14,clear sky
326,Mwense,ZM,-10.3845,28.698,56.75,46,9,2.77,clear sky
327,Damavand,IR,35.7178,52.065,69.64,29,5,1.7,clear sky
328,Kapoeta,SS,4.7717,33.5903,80.46,46,38,10.63,scattered clouds
329,Hollister,US,36.8525,-121.4016,78.75,58,1,3.0,clear sky
330,Ikwiriri,TZ,-7.9562,38.9716,66.96,97,27,1.81,scattered clouds
331,Yantal,RU,56.8471,105.2542,37.85,74,100,4.72,overcast clouds
332,Lamar,US,33.6668,-95.5836,78.96,59,20,5.59,few clouds
333,Yarqa,JO,31.9785,35.6947,69.85,59,0,1.81,clear sky
334,Skeldon,GY,5.8833,-57.1333,76.14,92,89,6.2,overcast clouds
335,Mandera,KE,3.9366,41.867,80.78,58,78,11.21,broken clouds
336,Mingshui,CN,36.7167,117.5,68.27,50,8,2.98,clear sky
337,Buraydah,SA,26.326,43.975,90.05,12,22,4.05,few clouds
338,Vakhrushev,RU,48.9833,142.9667,38.53,98,100,19.33,overcast clouds
339,Erdenet,MN,49.0333,104.0833,35.58,99,100,3.74,overcast clouds
340,Bileca,BA,42.8719,18.4297,60.69,78,97,5.08,overcast clouds
341,Suruc,TR,36.9761,38.425,70.0,68,0,6.89,clear sky
342,Tandil,AR,-37.3217,-59.1332,43.11,57,3,1.99,clear sky
343,Nalut,LY,30.3333,10.85,87.15,17,81,7.18,broken clouds
344,Batagay-Alyta,RU,67.8006,130.4114,44.8,56,20,19.42,few clouds
345,Marrakesh,MA,31.6315,-8.0083,78.87,50,40,2.3,scattered clouds
346,Geraldton,AU,-28.7667,114.6,63.01,67,62,13.67,broken clouds
